gene_1,gene_2,Arthropoda,Chordata,Cnidaria,Echinodermata,Mollusca,Nematoda
atp6,cox2,0.0025270758122743,0.001081276,0.0,0.0375,0.020366598778004,0.1085714285714285
atp6,rrnS,0.0010830324909747,0.0,0.0704225352112676,0.0,0.4786150712830957,0.0228571428571428
atp6,nad4,0.0010830324909747,0.001621914,0.3427230046948357,0.0,0.075356415478615,0.08
atp6,atp6,1.0,1.0,1.0,1.0,1.0,1.0
atp6,cox3,0.9783393501805054,0.99459362,0.3896713615023474,0.9875,0.1914460285132382,0.08
atp6,rrnL,0.0014440433212996,0.000720851,0.0140845070422535,0.0,0.065173116089613,0.0685714285714285
atp6,nad1,0.0007220216606498,0.001081276,0.0140845070422535,0.0,0.0285132382892057,0.8114285714285714
atp6,nad2,0.0010830324909747,0.000540638,0.0,0.0,0.0570264765784114,0.6742857142857143
atp6,nad5,0.0090252707581227,0.000360425,0.0798122065727699,0.0,0.1812627291242362,0.0685714285714285
atp6,nad3,0.0032490974729241,0.000360425,0.0,0.0,0.0814663951120163,0.0057142857142857
atp6,nad4L,0.0003610108303249,0.000901063,0.0,0.0125,0.0244399185336048,0.0057142857142857
atp8,atp8,1.0,1.0,1.0,1.0,1.0,1.0
atp8,cob,0.0018050541516245,0.0,0.0046948356807511,0.0,0.0224032586558044,0.0
atp8,rrnS,0.0043321299638989,0.000360425,0.0,0.0,0.0305498981670061,0.0
atp8,nad4,0.0,0.001261489,0.0,0.0,0.0509164969450101,0.0
atp8,nad4L,0.0028880866425992,0.000180213,0.1784037558685446,0.0,0.1568228105906313,0.0
atp8,rrnL,0.0010830324909747,0.000360425,0.0,0.0,0.0285132382892057,0.0
atp8,cox2,0.9765342960288808,0.99459362,0.3849765258215962,0.9625,0.5498981670061099,0.0
atp8,atp6,0.9949458483754512,0.995674896,0.5868544600938967,0.9625,0.7413441955193483,0.0
atp8,nad3,0.0014440433212996,0.000360425,0.215962441314554,0.0,0.0183299389002036,0.0685714285714285
atp8,nad5,0.0007220216606498,0.000720851,0.0140845070422535,0.0,0.0224032586558044,0.0
atp8,nad2,0.0054151624548736,0.000180213,0.0,0.0,0.0183299389002036,0.0
atp8,cox3,0.0007220216606498,0.000540638,0.0,0.0,0.010183299389002,0.0685714285714285
atp8,nad1,0.0010830324909747,0.000901063,0.0,0.0,0.0122199592668024,0.0
cob,atp6,0.0010830324909747,0.000901063,0.0,0.0,0.0244399185336048,0.0114285714285714
cob,cob,1.0,1.0,1.0,1.0,1.0,1.0
cob,nad3,0.0046931407942238,0.000540638,0.0093896713615023,0.0,0.0224032586558044,0.0628571428571428
cob,rrnL,0.0072202166064981,0.001261489,0.1455399061032863,0.075,0.2138492871690427,0.0114285714285714
cob,cox3,0.003610108303249,0.000540638,0.0938967136150234,0.0,0.075356415478615,0.8057142857142857
cob,cox2,0.0028880866425992,0.002342764,0.0140845070422535,0.0,0.3116089613034623,0.0171428571428571
cob,nad1,0.9342960288808664,0.001261489,0.6384976525821596,0.0,0.020366598778004,0.0228571428571428
cob,nad4L,0.0169675090252707,0.000901063,0.0422535211267605,0.0,0.5885947046843177,0.0171428571428571
cob,rrnS,0.0111913357400722,0.84429627,0.0187793427230046,0.7875,0.0183299389002036,0.12
cob,nad5,0.0115523465703971,0.152099477,0.0093896713615023,0.0,0.164969450101833,0.0114285714285714
cob,nad2,0.0324909747292418,0.001441701,0.352112676056338,0.325,0.0244399185336048,0.6514285714285715
cob,nad4,0.003971119133574,0.000720851,0.1408450704225352,0.0,0.0061099796334012,0.0514285714285714
cox1,nad4L,0.0010830324909747,0.000540638,0.0845070422535211,0.975,0.0386965376782077,0.0457142857142857
cox1,cox3,0.0050541516245487,0.001441701,0.1173708920187793,0.0,0.1731160896130346,0.0171428571428571
cox1,nad2,0.9570397111913356,0.995134258,0.0,0.0,0.6720977596741344,0.0114285714285714
cox1,nad5,0.003971119133574,0.000901063,0.0046948356807511,0.0,0.020366598778004,0.0457142857142857
cox1,nad6,0.0010830324909747,0.001441701,0.028169014084507,0.0,0.0264765784114052,0.1085714285714285
cox1,atp6,0.0010830324909747,0.000540638,0.0,0.0,0.0285132382892057,0.0228571428571428
cox1,nad3,0.0101083032490974,0.000901063,0.0046948356807511,0.0,0.065173116089613,0.0971428571428571
cox1,rrnS,0.01985559566787,0.000360425,0.2535211267605634,0.0,0.0346232179226069,0.0971428571428571
cox1,nad1,0.0057761732851985,0.000901063,0.0,0.4,0.0590631364562118,0.08
cox1,rrnL,0.0046931407942238,0.000180213,0.460093896713615,0.5,0.2077393075356415,0.0171428571428571
cox1,atp8,0.0018050541516245,0.001261489,0.3615023474178404,0.0,0.0264765784114052,0.0
cox1,cox2,0.9794223826714802,0.994954046,0.3098591549295774,0.025,0.6089613034623218,0.7257142857142858
cox1,nad4,0.0014440433212996,0.001081276,0.0046948356807511,0.0,0.0427698574338085,0.6971428571428572
cox1,cob,0.0068592057761732,0.000360425,0.0469483568075117,0.1,0.0142566191446028,0.0171428571428571
cox1,cox1,1.0,1.0,1.0,1.0,1.0,1.0
cox2,cox2,1.0,1.0,1.0,1.0,1.0,1.0
cox2,nad2,0.003610108303249,0.001081276,0.0751173708920187,0.0,0.0448065173116089,0.0171428571428571
cox2,nad4,0.0021660649819494,0.000360425,0.1737089201877934,0.0,0.0142566191446028,0.0457142857142857
cox3,cox3,1.0,1.0,1.0,1.0,1.0,1.0
cox3,nad2,0.003971119133574,0.000180213,0.136150234741784,0.0,0.2647657841140529,0.0457142857142857
cox3,nad4,0.003971119133574,0.0,0.2300469483568075,0.0,0.1934826883910387,0.72
cox3,nad1,0.0021660649819494,0.000540638,0.0,0.0,0.0142566191446028,0.0228571428571428
cox3,cox2,0.0054151624548736,0.000720851,0.3943661971830985,0.0,0.020366598778004,0.0171428571428571
nad1,nad2,0.0202166064981949,0.994233195,0.0,1.0,0.0509164969450101,0.1142857142857142
nad1,nad4,0.0021660649819494,0.000180213,0.1408450704225352,0.0,0.0448065173116089,0.04
nad1,cox2,0.003971119133574,0.000901063,0.0,0.0,0.0346232179226069,0.0742857142857142
nad1,nad1,1.0,1.0,1.0,1.0,1.0,1.0
nad2,nad2,1.0,1.0,1.0,1.0,1.0,1.0
nad3,cox3,0.9671480144404332,0.995134258,0.0,1.0,0.4419551934826884,0.0
nad3,nad3,1.0,1.0,1.0,1.0,1.0,1.0
nad3,nad2,0.0129963898916967,0.000901063,0.056338028169014,0.0,0.5010183299389002,0.0285714285714285
nad3,cox2,0.0086642599277978,0.001261489,0.0046948356807511,0.0,0.1242362525458248,0.0285714285714285
nad3,nad1,0.0220216606498194,0.000540638,0.2018779342723004,0.0,0.065173116089613,0.0171428571428571
nad3,nad4,0.0057761732851985,0.002162552,0.0,1.0,0.2281059063136456,0.0114285714285714
nad4,nad2,0.0122743682310469,0.000540638,0.0,0.0,0.0631364562118126,0.12
nad4,nad4,1.0,1.0,1.0,1.0,1.0,1.0
nad4L,rrnS,0.0025270758122743,0.000180213,0.0,0.0,0.0040733197556008,0.7314285714285714
nad4L,rrnL,0.0061371841155234,0.000720851,0.0328638497652582,0.0,0.0366598778004073,0.0171428571428571
nad4L,cox2,0.0014440433212996,0.000720851,0.3896713615023474,0.975,0.0916496945010183,0.0514285714285714
nad4L,nad1,0.0104693140794223,0.001081276,0.1408450704225352,0.0,0.2484725050916497,0.0
nad4L,cox3,0.0054151624548736,0.002883402,0.0046948356807511,0.0125,0.020366598778004,0.1028571428571428
nad4L,nad4,0.9844765342960288,0.995674896,0.0187793427230046,0.0125,0.604887983706721,0.1085714285714285
nad4L,nad5,0.0025270758122743,0.000901063,0.0,0.0125,0.0427698574338085,0.0114285714285714
nad4L,nad3,0.003971119133574,0.99387277,0.784037558685446,0.0,0.0590631364562118,0.0571428571428571
nad4L,nad2,0.0018050541516245,0.000540638,0.0,0.0,0.0488798370672097,0.0114285714285714
nad4L,nad4L,1.0,1.0,1.0,1.0,1.0,1.0
nad5,cox2,0.0043321299638989,0.000901063,0.0093896713615023,0.0,0.0529531568228105,0.0342857142857142
nad5,nad1,0.003971119133574,0.000720851,0.2488262910798122,0.0,0.3523421588594704,0.0057142857142857
nad5,nad5,1.0,1.0,1.0,1.0,1.0,1.0
nad5,rrnS,0.0220216606498194,0.004865742,0.1408450704225352,0.0,0.020366598778004,0.0057142857142857
nad5,nad3,0.9223826714801444,0.002162552,0.0,0.0,0.0712830957230142,0.7942857142857143
nad5,nad4,0.9703971119133574,0.989007028,0.2488262910798122,0.9875,0.4786150712830957,0.0914285714285714
nad5,nad2,0.0176895306859205,0.001621914,0.3849765258215962,0.0,0.0183299389002036,0.1942857142857142
nad5,cox3,0.0151624548736462,0.000360425,0.0,0.0,0.2749490835030549,0.0114285714285714
nad6,nad6,1.0,1.0,1.0,1.0,1.0,1.0
nad6,atp8,0.0014440433212996,0.000720851,0.0328638497652582,0.0,0.0224032586558044,0.0
nad6,nad4,0.0086642599277978,0.005226167,0.244131455399061,0.0,0.1466395112016293,0.0171428571428571
nad6,atp6,0.0003610108303249,0.001261489,0.380281690140845,0.0,0.0162932790224032,0.0285714285714285
nad6,cob,0.95956678700361,0.992250856,0.3990610328638497,0.7125,0.4887983706720977,0.2
nad6,nad5,0.0129963898916967,0.844116057,0.0093896713615023,1.0,0.2729124236252546,0.6857142857142857
nad6,rrnS,0.0043321299638989,0.147594161,0.1408450704225352,0.075,0.065173116089613,0.0
nad6,rrnL,0.0194945848375451,0.001441701,0.0,0.2125,0.2138492871690427,0.0457142857142857
nad6,nad3,0.0129963898916967,0.000360425,0.3896713615023474,0.0,0.0366598778004073,0.0
nad6,cox2,0.0014440433212996,0.0,0.0,0.0,0.0264765784114052,0.0057142857142857
nad6,nad4L,0.956317689530686,0.000901063,0.0,0.0,0.020366598778004,0.8057142857142857
nad6,cox3,0.0025270758122743,0.000540638,0.0046948356807511,0.0,0.0570264765784114,0.0685714285714285
nad6,nad2,0.0028880866425992,0.001081276,0.352112676056338,0.0,0.0285132382892057,0.0171428571428571
nad6,nad1,0.0126353790613718,0.000901063,0.0093896713615023,0.0,0.5784114052953157,0.0285714285714285
rrnL,cox3,0.0021660649819494,0.000720851,0.107981220657277,0.0,0.0692464358452138,0.0171428571428571
rrnL,nad5,0.0010830324909747,0.000180213,0.2206572769953051,0.0,0.0224032586558044,0.0285714285714285
rrnL,cox2,0.0021660649819494,0.000360425,0.0469483568075117,0.0,0.0285132382892057,0.84
rrnL,nad2,0.0252707581227436,0.000360425,0.3098591549295774,0.675,0.0183299389002036,0.04
rrnL,rrnS,0.9570397111913356,0.995855109,0.0234741784037558,0.4625,0.6211812627291242,0.08
rrnL,rrnL,1.0,1.0,1.0,1.0,1.0,1.0
rrnL,nad1,0.9469314079422384,0.994954046,0.0375586854460093,0.0,0.460285132382892,0.0057142857142857
rrnL,nad4,0.0014440433212996,0.000540638,0.0,0.0,0.0285132382892057,0.0
rrnL,nad3,0.0061371841155234,0.000540638,0.0,0.0,0.0366598778004073,0.8228571428571428
rrnS,nad2,0.8989169675090253,0.001441701,0.2065727699530516,0.0,0.1670061099796334,0.0514285714285714
rrnS,cox2,0.0043321299638989,0.000360425,0.0892018779342723,0.0,0.0672097759674134,0.0342857142857142
rrnS,nad1,0.0321299638989169,0.001802127,0.2488262910798122,0.6,0.0305498981670061,0.7714285714285715
rrnS,cox3,0.0021660649819494,0.000720851,0.3474178403755869,0.0,0.2260692464358452,0.0228571428571428
rrnS,nad3,0.015884476534296,0.000360425,0.0093896713615023,0.0,0.2158859470468432,0.0171428571428571
rrnS,rrnS,1.0,1.0,1.0,1.0,1.0,1.0
rrnS,nad4,0.0014440433212996,0.001081276,0.380281690140845,0.0,0.0224032586558044,0.0342857142857142
